N,rad_odd_M,num_goldbach,rho_min,rho_mean,rho_max,BW_goldbach
2024,253,32,5.417710,6.317477,6.543089,1.125379
2026,1013,32,6.456481,7.091019,7.271696,0.815214
2028,39,62,4.552811,5.382089,5.560330,1.007519
2030,1015,49,5.924063,7.060049,7.271875,1.347812
2032,127,29,4.832041,5.945545,6.179944,1.347903
2034,339,64,5.481070,6.478030,6.695199,1.214129
2036,509,33,5.782084,6.718169,6.908138,1.126054
2038,1019,33,6.264101,7.083154,7.272260,1.008159
2040,255,85,5.536422,6.353955,6.544707,1.008285
2042,1021,30,5.924124,7.055171,7.272447,1.348324
2044,511,38,5.694175,6.709372,6.908791,1.214616
2046,1023,75,6.145912,7.086021,7.272609,1.126697
2048,1,25,2.769906,3.443670,3.636307,0.866402
